rep	cond	task	exit	wall_ms	api_calls	tool_calls	in_tok	cache_read	cache_write	out_tok	verdict	agent_usd	judge_usd
3	C-ghci	T5	0	9894	3	2	6	104683	13692	723	PASS	0.0843266	0.0205502
3	C-gh	T5	0	6020	2	1	4	60369	8200	272	PASS	0.0489818	0.020044199999999998
3	C-ghaxi	T6	0	7120	2	1	4	63486	11672	440	PASS	0.0637932	0.0212672
3	C-ghci	T6	0	25436	6	5	12	231766	17479	2422	PASS	0.1418532	0.025675200000000002
3	C-gh	T6	0	6591	2	1	4	60352	8545	472	PASS	0.0523534	0.0213212
4	C-gh	T1	0	5068	2	1	4	60359	8254	248	PASS	0.048924800000000004	0.0195512
4	C-ghaxi	T1	0	5448	2	1	4	63481	11133	272	PASS	0.0599562	0.0195962
4	C-ghci	T1	0	15832	4	4	8	145678	15578	1252	PASS	0.1053326	0.0220382
4	C-gh	T2	0	7105	3	2	6	94855	8355	318	PASS	0.056964	0.0195322
4	C-ghaxi	T2	0	5330	2	1	4	63508	11123	196	PASS	0.05916160000000001	0.0189262
4	C-ghci	T2	0	15241	4	3	8	146635	15080	1074	PASS	0.10177399999999999	0.0209512
4	C-gh	T4	0	19960	5	4	10	169602	12988	1072	PASS	0.09801340000000003	0.0234162
4	C-ghaxi	T4	0	15759	3	2	6	101293	24363	967	PASS	0.1273926	0.022150200000000002
4	C-ghci	T4	0	27381	7	6	14	285004	22440	1955	PASS	0.16773980000000002	0.0240392
4	C-gh	T5	0	4817	2	1	4	60369	8174	208	PASS	0.0482078	0.0198142
4	C-ghaxi	T5	0	11422	4	3	8	139354	13727	602	PASS	0.08881479999999999	0.0203442
4	C-ghci	T5	0	19491	5	4	10	188651	16046	1551	PASS	0.11882420000000002	0.0224332
4	C-gh	T6	0	7029	2	1	4	60352	8510	476	PASS	0.0522334	0.0213512
4	C-ghaxi	T6	0	8021	2	1	4	63486	11751	557	PASS	0.0652792	0.0214832
4	C-ghci	T6	0	11541	3	2	6	104577	13905	1000	PASS	0.0878924	0.0227632
5	C-ghci	T1	0	16112	4	3	8	146604	15388	1123	PASS	0.1034978	0.0212082
5	C-ghaxi	T1	0	6303	2	1	4	63481	11139	282	PASS	0.0600802	0.019624199999999998
5	C-gh	T1	0	5147	2	1	4	60359	8274	269	PASS	0.04924479999999999	0.0195752
5	C-ghci	T2	0	18668	4	3	8	147232	15911	1405	PASS	0.1085324	0.021230199999999998
5	C-ghaxi	T2	0	5920	2	1	4	63508	11167	239	PASS	0.059767600000000004	0.0189452
5	C-gh	T2	0	7794	3	2	6	94897	8445	417	PASS	0.0583174	0.0196712
5	C-ghci	T4	0	20360	5	4	10	230711	36271	1521	PASS	0.2078272	0.0238692
5	C-ghaxi	T4	0	16065	3	2	6	101447	24522	1051	PASS	0.1288994	0.0217802
5	C-gh	T4	0	17324	4	3	8	141422	22037	960	PASS	0.1274244	0.022643200000000002
5	C-ghci	T5	0	9150	2	1	4	65154	13434	712	PASS	0.0752398	0.0204462
5	C-ghaxi	T5	0	12305	4	3	8	140985	13601	599	PASS	0.088607	0.020190200000000002
5	C-gh	T5	0	4638	2	1	4	60369	8128	192	PASS	0.0478688	0.019843200000000002
5	C-ghci	T6	0	10392	3	2	6	104561	13890	888	PASS	0.0867092	0.0222442
5	C-ghaxi	T6	0	7225	2	1	4	63486	11670	441	PASS	0.0637952	0.021326200000000003
5	C-gh	T6	0	6433	2	1	4	60352	8495	452	PASS	0.051923399999999995	0.0213152
